dep.abelmesquitajr@camara.leg.br;;Abel Salvador Mesquita Junior;ABEL MESQUITA JR.;DEM;RR;;(61) 3215-5248;;;248 - Anexo;;http://www.camara.gov.br/internet/deputado/bandep/178957.jpg;M
dep.adailcarneiro@camara.leg.br;;Jose Adail Carneiro Silva;ADAIL CARNEIRO;PP;CE;;(61) 3215-5335;;;335 - Anexo;;http://www.camara.gov.br/internet/deputado/bandep/178864.jpg;M
dep.adalbertocavalcanti@camara.leg.br;;Adalberto Cavalcanti Rodrigues;ADALBERTO CAVALCANTI;PTB;PE;;(61) 3215-5402;;;402 - Anexo;;http://www.camara.gov.br/internet/deputado/bandep/178914.jpg;M
dep.adelmocarneiroleao@camara.leg.br;;Adelmo Carneiro Leao;ADELMO CARNEIRO LEÃO;PT;MG;;(61) 3215-5231;;;231 - Anexo;;http://www.camara.gov.br/internet/deputado/bandep/178890.jpg;M
dep.adelsonbarreto@camara.leg.br;;Adelson Barreto Dos Santos;ADELSON BARRETO;PR;SE;;(61) 3215-5937;;;937 - Anexo;;http://www.camara.gov.br/internet/deputado/bandep/178968.jpg;M
dep.ademircamilo@camara.leg.br;;Ademir Camilo Prates Rodrigues;ADEMIR CAMILO;PTN;MG;;(61) 3215-5556;;;556 - Anexo;;http://www.camara.gov.br/internet/deputado/bandep/133374.jpg;M
dep.adiltonsachetti@camara.leg.br;;Adilton Domingos Sachetti;ADILTON SACHETTI;PSB;MT;;(61) 3215-5374;;;374 - Anexo;;http://www.camara.gov.br/internet/deputado/bandep/178903.jpg;M
dep.aeltonfreitas@camara.leg.br;;Aelton José de Freitas;AELTON FREITAS;PR;MG;;(61) 3215-5204;;;204 - Anexo;;http://www.camara.gov.br/internet/deputado/bandep/141372.jpg;M
dep.afonsoflorence@camara.leg.br;;Afonso Bandeira Florence;AFONSO FLORENCE;PT;BA;;(61) 3215-5305;;;305 - Anexo;;http://www.camara.gov.br/internet/deputado/bandep/160508.jpg;M
dep.afonsohamm@camara.leg.br;;José Alfonso Ebert Hamm;AFONSO HAMM;PP;RS;;(61) 3215-5604;;;604 - Anexo;;http://www.camara.gov.br/internet/deputado/bandep/136811.jpg;M
